City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
203,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
222,Neuquen,AR,75.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
223,Acapulco,MX,84.83,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
229,Ambilobe,MG,79.97,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
230,Alagoinha,BR,90.19,broken clouds,-6.95,-35.545,Pousada Santa Ana
234,Chibuto,MZ,87.04,clear sky,-24.6867,33.5306,Residência Masculina da Escola Superior de Negocios e Empreendedorismo de Chibuto
237,Garissa,KE,84.4,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
242,Mandera,KE,86.7,scattered clouds,3.9366,41.867,Mwalimu Guest mandera
244,Poindimie,NC,78.26,broken clouds,-20.9333,165.3333,hotel de la plage
246,Waingapu,ID,81.0,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
249,Kendari,ID,75.94,overcast clouds,-3.945,122.4989,Hotel Wixel
251,Teacapan,MX,81.34,broken clouds,22.55,-105.75,Hotel los Mangos
259,Kavieng,PG,81.97,moderate rain,-2.5744,150.7967,Nusa Island Retreat
263,Mount Isa,AU,80.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
267,Beira,MZ,81.03,clear sky,-19.8436,34.8389,Beira Terrace Hotel
268,Alta Floresta,BR,81.61,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
274,Chiredzi,ZW,90.57,broken clouds,-21.05,31.6667,Clevers Hotel Chiredzi
276,Loanda,AO,78.3,light rain,-8.8368,13.2343,Hotel Fórum
277,Marihatag,PH,75.96,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
278,Mazatlan,MX,82.02,broken clouds,23.2167,-106.4167,Hotel Playamar
283,Yenagoa,NG,81.66,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
288,Atambua,ID,75.04,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
290,Tabou,CI,81.43,scattered clouds,4.423,-7.3528,hotêl doufoulougou
291,Moron,AR,79.02,overcast clouds,-34.6534,-58.6198,Hotel Morón
296,Mahibadhoo,MV,81.86,scattered clouds,3.7833,72.9667,Omadhoo Inn
309,Touros,BR,88.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
317,Arlit,NE,78.19,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
320,Alice Springs,AU,78.35,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
323,Wajir,KE,83.07,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
324,Abu Zabad,SD,81.64,clear sky,12.35,29.25,حامد محمد نور
329,Cabo San Lucas,MX,85.3,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
333,Mattru,SL,80.69,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
334,Katobu,ID,76.21,overcast clouds,-4.9408,122.5276,La Ode Husein
335,Olinda,BR,85.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
336,Coahuayana,MX,87.28,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
338,Mucuri,BR,78.8,scattered clouds,-18.0864,-39.5508,La Bodeguita Pousada
342,Tual,ID,83.89,moderate rain,-5.6667,132.75,Grand Vilia Hotel
343,Neiafu,TO,79.66,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
345,Daru,PG,80.91,overcast clouds,-9.0763,143.2092,Daru Lodge
346,Arinos,BR,83.46,overcast clouds,-15.9169,-46.1056,casa do bruno
349,Oranjestad,AW,81.03,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
350,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
351,Prado,BR,77.5,moderate rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
354,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
355,Amahai,ID,78.06,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
357,Ambanja,MG,77.59,few clouds,-13.6833,48.45,Hotel Salama and Fast Food
358,Maiduguri,NG,79.43,few clouds,11.8464,13.1603,Kagel Mari Police Station
360,Hithadhoo,MV,81.84,broken clouds,-0.6,73.0833,Scoop Guest House
361,Akyab,MM,77.27,overcast clouds,20.15,92.9,Hotel Memory
363,Port Blair,IN,79.45,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
381,Curanilahue,CL,76.39,clear sky,-37.4667,-73.35,Hotel Plaza los Leones
382,Ko Samui,TH,79.86,few clouds,9.5357,99.9357,The Passage
391,Sola,VU,79.12,overcast clouds,-13.8833,167.55,Leumerus Bungalows
392,Sarangani,PH,81.07,broken clouds,5.4033,125.4636,Ballistic Islet
393,Hambantota,LK,78.73,broken clouds,6.1241,81.1185,Bungalow 63
398,Alofi,NU,79.03,overcast clouds,-19.0595,-169.9187,Taloa Heights
399,Maceio,BR,87.24,light rain,-9.6658,-35.7353,Poutur Pousada
403,Petrolina,BR,84.25,light rain,-9.3986,-40.5008,JB Hotel
404,Sinnamary,GF,78.62,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
408,Santa Fe,AR,85.75,overcast clouds,-31.6333,-60.7,Conquistador Hotel
409,Janauba,BR,81.37,broken clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
410,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
411,Kotido,UG,78.57,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
415,Lazaro Cardenas,MX,83.39,scattered clouds,17.9583,-102.2,quinta antigua
418,Bowen,AU,76.15,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
423,Banda Aceh,ID,77.86,broken clouds,5.5577,95.3222,Sulthan Hotel International
427,Valparaiso,CL,80.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
428,Bosaso,SO,76.46,clear sky,11.2842,49.1816,Red Sea Hotel
432,Maragogi,BR,82.42,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
433,Carutapera,BR,84.6,overcast clouds,-1.195,-46.02,Lidera
434,Samarai,PG,80.6,overcast clouds,-10.6167,150.6667,Nuli Sapi
435,Atar,MR,81.66,scattered clouds,20.5169,-13.0499,Oumou Elghoura
439,Bahia De Caraquez,EC,78.98,broken clouds,-0.6,-80.4167,Saiananda Eco-Hotel
441,Namatanai,PG,80.4,light rain,-3.6667,152.4333,Seagulls Inn Namatani
446,Auki,SB,78.22,broken clouds,-8.7676,160.7034,Auki Motel
450,Quatre Cocos,MU,79.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
452,Faaa,PF,84.16,light rain,-17.55,-149.6,Tahiti Nui Hotel
456,Jacareacanga,BR,83.55,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
460,Kanniyakumari,IN,79.23,scattered clouds,8.0833,77.5667,Sparsa
463,Faanui,PF,80.91,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
465,Akonolinga,CM,75.65,broken clouds,3.7667,12.25,Le Diamant De Mireille
467,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
474,Les Cayes,HT,84.54,overcast clouds,18.2,-73.75,Villa Orphee
476,Savelugu,GH,89.42,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
478,Sechura,PE,77.47,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
483,Puerto Escondido,MX,88.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
484,Bandarbeyla,SO,77.97,clear sky,9.4942,50.8122,JABIR HOTEL
485,Porbandar,IN,75.52,clear sky,21.6422,69.6093,Lords Inn Porbandar
488,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
493,Andros Town,BS,78.76,scattered clouds,24.7,-77.7667,Hanks place
494,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
500,La Quinta,US,81.52,clear sky,33.6634,-116.31,Embassy Suites by Hilton La Quinta Hotel & Spa
503,Ugoofaaru,MV,82.58,few clouds,5.6667,73.0,Ungoofaaru Inn
505,Houma,US,75.2,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
512,Mocuba,MZ,81.79,clear sky,-16.8392,36.9856,Phama Lodge
518,Biak,ID,77.22,overcast clouds,-0.9131,122.8766,Penginapan Kim
