City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Leningradskiy,RU,2021-12-02 08:10:47,69.3833,178.4167,-11.09,92,100,4.18
104,Nemuro,JP,2021-12-02 08:10:47,43.3236,145.575,34.61,60,29,22.46
105,Tautira,PF,2021-12-02 08:10:47,-17.7333,-149.15,82.0,77,100,19.46
106,Dezful,IR,2021-12-02 08:10:48,32.3811,48.4058,74.88,40,94,21.3
107,Pauini,BR,2021-12-02 08:10:48,-7.7136,-66.9764,71.19,99,100,2.44
108,Rantoul,US,2021-12-02 08:10:49,40.3084,-88.1559,48.34,83,1,8.99
109,Itarema,BR,2021-12-02 08:10:49,-2.9248,-39.9167,77.86,84,99,8.5
110,Ust-Kuyga,RU,2021-12-02 08:10:49,70.0167,135.6,-47.88,100,73,0.47
111,San Cristobal,VE,2021-12-02 08:10:50,7.7669,-72.225,64.24,89,93,1.52
112,Zhicheng,CN,2021-12-02 08:10:50,30.2956,111.5047,62.13,31,1,4.47
113,Launceston,AU,2021-12-02 08:07:54,-41.45,147.1667,66.61,76,40,3.0
114,Marawi,PH,2021-12-02 08:10:51,7.9986,124.2928,74.64,81,69,4.99
115,Las Palmas,ES,2021-12-02 08:10:51,28.4204,-14.0131,63.39,68,40,20.71
116,Isparta,TR,2021-12-02 08:10:51,38.0,31.0,30.96,56,0,2.91
117,Flinders,AU,2021-12-02 08:10:52,-34.5833,150.8552,76.8,79,34,9.62
118,Masingbi,SL,2021-12-02 08:10:52,8.7833,-11.95,75.07,94,99,0.89
119,Alice Springs,AU,2021-12-02 08:10:17,-23.7,133.8833,98.15,9,0,14.97
120,Pinotepa Nacional,MX,2021-12-02 08:10:53,16.3167,-98.0167,71.35,87,0,3.22
121,Lorengau,PG,2021-12-02 08:10:53,-2.0226,147.2712,82.15,76,65,2.86
122,Kidodi,TZ,2021-12-02 08:10:53,-7.6036,37.0044,86.81,55,26,2.82
123,Hithadhoo,MV,2021-12-02 08:10:54,-0.6,73.0833,82.56,75,17,8.9
124,Adrar,MR,2021-12-02 08:10:54,20.5022,-10.0711,66.76,16,100,10.33
125,Qaanaaq,GL,2021-12-02 08:10:55,77.484,-69.3632,1.76,72,64,8.19
126,Kavieng,PG,2021-12-02 08:10:55,-2.5744,150.7967,83.3,73,28,8.12
127,Mar Del Plata,AR,2021-12-02 08:10:06,-38.0023,-57.5575,58.87,85,40,11.01
128,Petropavlovka,RU,2021-12-02 08:10:56,50.6114,105.3196,19.74,86,14,3.8
129,Jamiltepec,MX,2021-12-02 08:10:56,16.2833,-97.8167,67.84,85,0,3.47
130,Leshukonskoye,RU,2021-12-02 08:10:57,64.8989,45.7622,19.99,98,100,1.7
131,Albany,US,2021-12-02 08:09:31,42.6001,-73.9662,40.8,78,100,7.47
132,Puerto Quijarro,BO,2021-12-02 08:10:57,-17.7833,-57.7667,72.18,96,68,1.16
133,Cabo San Lucas,MX,2021-12-02 08:07:11,22.8909,-109.9124,75.51,68,18,10.33
134,Marsh Harbour,BS,2021-12-02 08:10:58,26.5412,-77.0636,75.4,70,7,12.44
135,Chapais,CA,2021-12-02 08:10:58,49.7834,-74.8492,13.78,94,100,12.5
136,Toamasina,MG,2021-12-02 08:10:58,-18.1667,49.3833,81.25,67,77,10.51
137,Virden,US,2021-12-02 08:10:59,39.5009,-89.7679,49.68,74,59,15.05
138,Aquiraz,BR,2021-12-02 08:10:23,-3.9014,-38.3911,83.21,71,87,7.4
139,Hambantota,LK,2021-12-02 08:10:59,6.1241,81.1185,83.3,70,60,7.43
140,Coahuayana,MX,2021-12-02 08:12:00,18.7333,-103.6833,72.5,86,0,3.62
141,Ponta Do Sol,PT,2021-12-02 08:12:00,32.6667,-17.1,65.03,69,11,6.85
142,Carauari,BR,2021-12-02 08:12:01,-4.8828,-66.8958,72.99,99,100,0.81
143,Carnarvon,AU,2021-12-02 08:12:01,-24.8667,113.6333,75.11,62,0,25.93
144,Mayo,US,2021-12-02 08:12:02,38.8876,-76.5119,50.16,86,75,3.0
145,Ostrovnoy,RU,2021-12-02 08:12:02,68.0531,39.5131,28.51,63,100,32.73
146,Batagay-Alyta,RU,2021-12-02 08:12:02,67.8006,130.4114,-38.34,96,29,4.52
147,Cam Ranh,VN,2021-12-02 08:12:03,11.9214,109.1591,78.76,69,40,14.97
148,Nikolskoye,RU,2021-12-02 08:12:03,59.7035,30.7861,12.02,96,100,2.55
149,Torbay,CA,2021-12-02 08:12:03,47.6666,-52.7314,40.75,92,66,4.0
150,Laguna,US,2021-12-02 08:12:04,38.421,-121.4238,64.22,97,90,0.0
151,Nosy Varika,MG,2021-12-02 08:12:04,-20.5833,48.5333,80.53,70,51,10.29
152,Valparaiso,CL,2021-12-02 08:09:15,-33.0393,-71.6273,49.64,81,0,4.61
153,Grande Riviere Du Nord,HT,2021-12-02 08:12:05,19.5833,-72.1833,71.47,91,33,2.86
154,Jasper,US,2021-12-02 08:12:05,37.2001,-94.3502,53.46,60,1,1.99
155,Sayyan,YE,2021-12-02 08:12:06,15.1718,44.3244,61.72,22,0,2.1
156,Majene,ID,2021-12-02 08:12:06,-3.5403,118.9707,84.88,67,75,5.06
157,Tambun,ID,2021-12-02 08:12:07,-6.2641,107.0712,95.04,52,40,14.97
158,Upernavik,GL,2021-12-02 08:09:48,72.7868,-56.1549,27.09,92,100,6.55
159,East London,ZA,2021-12-02 08:12:07,-33.0153,27.9116,68.23,81,100,20.22
160,Tuktoyaktuk,CA,2021-12-02 08:12:07,69.4541,-133.0374,-12.44,97,100,9.37
161,Mahon,ES,2021-12-02 08:12:08,39.8885,4.2658,48.76,93,20,8.05
162,Cockburn Town,TC,2021-12-02 08:09:22,21.4612,-71.1419,80.46,73,0,13.82
163,Dong Hoi,VN,2021-12-02 08:12:08,17.4833,106.6,68.9,69,100,13.38
164,Portland,US,2021-12-02 08:12:09,45.5234,-122.6762,55.17,92,90,1.99
165,Snezhnogorsk,RU,2021-12-02 08:12:09,69.1933,33.2531,26.38,68,100,23.58
166,Marystown,CA,2021-12-02 08:12:09,47.1666,-55.1483,37.85,100,98,14.27
167,Fort-Shevchenko,KZ,2021-12-02 08:12:10,44.5086,50.263,46.51,61,100,11.05
168,Griffith,US,2021-12-02 08:12:10,41.5284,-87.4237,51.06,74,1,1.01
169,Jumla,NP,2021-12-02 08:12:11,29.2747,82.1838,45.7,99,100,2.55
170,Lasa,IT,2021-12-02 08:12:11,46.6166,10.7002,31.62,94,100,3.96
171,Luderitz,NA,2021-12-02 08:12:12,-26.6481,15.1594,72.95,39,0,23.02
172,Ambilobe,MG,2021-12-02 08:12:12,-13.2,49.05,94.86,33,13,10.04
173,Bengkulu,ID,2021-12-02 08:12:12,-3.8004,102.2655,84.52,66,7,11.36
174,Abu Dhabi,AE,2021-12-02 08:07:19,24.4667,54.3667,82.51,51,0,1.99
175,Bayan,CN,2021-12-02 08:12:13,46.0833,127.4,26.4,96,100,12.3
176,Inhambane,MZ,2021-12-02 08:12:13,-23.865,35.3833,83.53,57,1,11.45
177,Genhe,CN,2021-12-02 08:12:14,50.7833,121.5167,2.89,91,53,4.16
178,Andenes,NO,2021-12-02 08:12:14,69.3143,16.1194,33.78,47,20,19.57
179,Forbes,AU,2021-12-02 08:12:14,-33.3833,148.0167,88.92,38,17,3.06
180,Umm Kaddadah,SD,2021-12-02 08:12:15,13.6017,26.6876,78.66,24,0,24.47
181,Bjerkvik,NO,2021-12-02 08:12:15,68.5597,17.5189,32.2,72,100,11.81
182,Todos Santos,MX,2021-12-02 08:12:15,23.45,-110.2167,75.0,59,19,6.58
183,Haines Junction,CA,2021-12-02 08:12:16,60.7522,-137.5108,11.21,95,100,2.08
184,Mehran,IR,2021-12-02 08:12:16,33.1222,46.1646,74.68,48,18,14.74
185,Urzhum,RU,2021-12-02 08:13:16,57.1141,49.9996,27.63,87,100,12.1
186,Kenai,US,2021-12-02 08:13:17,60.5544,-151.2583,17.69,80,90,5.75
187,Alofi,NU,2021-12-02 08:13:17,-19.0595,-169.9187,78.48,81,45,13.33
188,Jutai,BR,2021-12-02 08:13:18,-5.1833,-68.9,72.5,99,100,0.51
189,Vila Franca Do Campo,PT,2021-12-02 08:09:10,37.7167,-25.4333,62.2,83,73,5.48
190,Turka,UA,2021-12-02 08:13:18,49.1541,23.0297,40.26,97,100,10.09
191,Winnemucca,US,2021-12-02 08:13:19,40.973,-117.7357,47.73,44,5,4.61
192,Divo,CI,2021-12-02 08:13:19,5.8397,-5.36,76.62,91,52,3.15
193,Arraial Do Cabo,BR,2021-12-02 08:13:19,-22.9661,-42.0278,73.06,85,24,9.66
194,Yellowknife,CA,2021-12-02 08:10:38,62.456,-114.3525,-1.44,97,94,8.01
195,Bintulu,MY,2021-12-02 08:13:20,3.1667,113.0333,84.78,68,13,6.85
196,Kajaani,FI,2021-12-02 08:13:20,64.2273,27.7285,6.85,92,75,3.44
197,Ilulissat,GL,2021-12-02 08:13:21,69.2167,-51.1,17.51,64,1,10.16
198,Otavi,NA,2021-12-02 08:13:21,-19.65,17.3333,71.76,50,100,2.44
199,Comodoro Rivadavia,AR,2021-12-02 08:13:21,-45.8667,-67.5,53.46,43,0,16.11
200,Dikson,RU,2021-12-02 08:13:22,73.5069,80.5464,-9.69,96,100,13.38
201,Maceio,BR,2021-12-02 08:13:22,-9.6658,-35.7353,76.44,88,20,4.61
202,Fort Nelson,CA,2021-12-02 08:10:52,58.8053,-122.7002,-6.21,77,90,2.3
203,Hanna,CA,2021-12-02 08:13:23,51.6334,-111.9018,32.86,91,100,17.0
204,Chimbote,PE,2021-12-02 08:13:23,-9.0853,-78.5783,63.99,92,95,4.9
205,Saint-Pierre,RE,2021-12-02 08:13:23,-21.3393,55.4781,82.04,76,75,23.02
206,Vung Tau,VN,2021-12-02 08:12:53,10.346,107.0843,79.95,71,100,6.6
207,Vallenar,CL,2021-12-02 08:13:24,-28.5708,-70.7581,62.1,58,90,1.68
